track.name,track.id,track.popularity,href,id,name,type,uri,external_urls.spotify,song_id,song_name,popularity
,,,https://api.spotify.com/v1/artists/7FIoB5PHdrMZVC3q2HE5MS,7FIoB5PHdrMZVC3q2HE5MS,George Harrison,artist,spotify:artist:7FIoB5PHdrMZVC3q2HE5MS,https://open.spotify.com/artist/7FIoB5PHdrMZVC3q2HE5MS,3OeUlriM0EZHdWleJtjoVr,Got My Mind Set On You - Remastered 2004,4.0
,,,https://api.spotify.com/v1/artists/6QtGlUje9TIkLrgPZrESuk,6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,artist,spotify:artist:6QtGlUje9TIkLrgPZrESuk,https://open.spotify.com/artist/6QtGlUje9TIkLrgPZrESuk,1bp2IO61zbQrbWNmKKxg3f,The Joker,78.0
,,,https://api.spotify.com/v1/artists/2DlGxzQSjYe5N6G9nkYghR,2DlGxzQSjYe5N6G9nkYghR,Jennifer Lopez,artist,spotify:artist:2DlGxzQSjYe5N6G9nkYghR,https://open.spotify.com/artist/2DlGxzQSjYe5N6G9nkYghR,3x4yV0hW5Ve3TKhFkXSqFn,If You Had My Love,67.0
,,,https://api.spotify.com/v1/artists/530Sdm7eqqzWBdDmILMgnu,530Sdm7eqqzWBdDmILMgnu,Robert Palmer,artist,spotify:artist:530Sdm7eqqzWBdDmILMgnu,https://open.spotify.com/artist/530Sdm7eqqzWBdDmILMgnu,5izGeTxueiFX1UPFGohY9w,Addicted To Love,69.0
,,,https://api.spotify.com/v1/artists/0tO3KaRy0ZACd8XJYT3IX2,0tO3KaRy0ZACd8XJYT3IX2,Eric 'ET' Thorngren,artist,spotify:artist:0tO3KaRy0ZACd8XJYT3IX2,https://open.spotify.com/artist/0tO3KaRy0ZACd8XJYT3IX2,5izGeTxueiFX1UPFGohY9w,Addicted To Love,69.0
,,,https://api.spotify.com/v1/artists/3NRFinRTEqUCfaTTZmk8ek,3NRFinRTEqUCfaTTZmk8ek,Savage Garden,artist,spotify:artist:3NRFinRTEqUCfaTTZmk8ek,https://open.spotify.com/artist/3NRFinRTEqUCfaTTZmk8ek,3XorCFmcupSm5QS6hA9g4N,I Want You,64.0
,,,https://api.spotify.com/v1/artists/3FUY2gzHeIiaesXtOAdB7A,3FUY2gzHeIiaesXtOAdB7A,Train,artist,spotify:artist:3FUY2gzHeIiaesXtOAdB7A,https://open.spotify.com/artist/3FUY2gzHeIiaesXtOAdB7A,2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),82.0
,,,https://api.spotify.com/v1/artists/2ycnb8Er79LoH2AsR5ldjh,2ycnb8Er79LoH2AsR5ldjh,Pet Shop Boys,artist,spotify:artist:2ycnb8Er79LoH2AsR5ldjh,https://open.spotify.com/artist/2ycnb8Er79LoH2AsR5ldjh,07ABETRdek3ACMpRPvQuaT,Always on My Mind,75.0
,,,https://api.spotify.com/v1/artists/2DaxqgrOhkeH0fpeiQq2f4,2DaxqgrOhkeH0fpeiQq2f4,Oasis,artist,spotify:artist:2DaxqgrOhkeH0fpeiQq2f4,https://open.spotify.com/artist/2DaxqgrOhkeH0fpeiQq2f4,0UvCh63URrLFcPkKt99hHd,Don't Look Back in Anger - Remastered,76.0
,,,https://api.spotify.com/v1/artists/7lzordPuZEXxwt9aoVZYmG,7lzordPuZEXxwt9aoVZYmG,Billy Idol,artist,spotify:artist:7lzordPuZEXxwt9aoVZYmG,https://open.spotify.com/artist/7lzordPuZEXxwt9aoVZYmG,5LeDMHIZ5YDZ2b1VOcYVcG,Hot In The City,61.0
,,,https://api.spotify.com/v1/artists/1l7ZsJRRS8wlW3WfJfPfNS,1l7ZsJRRS8wlW3WfJfPfNS,Christina Aguilera,artist,spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS,https://open.spotify.com/artist/1l7ZsJRRS8wlW3WfJfPfNS,3TCauNPqFiniaYHBvEVoHG,Beautiful,73.0
,,,https://api.spotify.com/v1/artists/4Otx4bRLSfpah5kX8hdgDC,4Otx4bRLSfpah5kX8hdgDC,Naughty By Nature,artist,spotify:artist:4Otx4bRLSfpah5kX8hdgDC,https://open.spotify.com/artist/4Otx4bRLSfpah5kX8hdgDC,3voxsfqnGr9V74jkkzPhXC,O.P.P,0.0
,,,https://api.spotify.com/v1/artists/7xkAwz0bQTGDSbkofyQt3U,7xkAwz0bQTGDSbkofyQt3U,Belinda Carlisle,artist,spotify:artist:7xkAwz0bQTGDSbkofyQt3U,https://open.spotify.com/artist/7xkAwz0bQTGDSbkofyQt3U,37Q5anxoGWYdRsyeXkkNoI,Heaven Is A Place On Earth,72.0
,,,https://api.spotify.com/v1/artists/6EK2381dTQEvcn3KrnMOWQ,6EK2381dTQEvcn3KrnMOWQ,Uniting Nations,artist,spotify:artist:6EK2381dTQEvcn3KrnMOWQ,https://open.spotify.com/artist/6EK2381dTQEvcn3KrnMOWQ,37a8EdVw7VpAlRG4oASxIm,Out of Touch - Radio Edit,57.0
,,,https://api.spotify.com/v1/artists/1PXHzxRDiLnjqNrRn2Xbsa,1PXHzxRDiLnjqNrRn2Xbsa,Underworld,artist,spotify:artist:1PXHzxRDiLnjqNrRn2Xbsa,https://open.spotify.com/artist/1PXHzxRDiLnjqNrRn2Xbsa,1UPJoPSCpOzYcRBq5nc586,Underneath the Radar,47.0
,,,https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,6O20JhBJPePEkBdrB5sqRx,Diamonds,80.0
,,,https://api.spotify.com/v1/artists/20p5D2KrE8CGuOjHtxsyTp,20p5D2KrE8CGuOjHtxsyTp,Fine Young Cannibals,artist,spotify:artist:20p5D2KrE8CGuOjHtxsyTp,https://open.spotify.com/artist/20p5D2KrE8CGuOjHtxsyTp,2Ywft2Thbf7mPyoD2ntadi,Suspicious Minds,56.0
,,,https://api.spotify.com/v1/artists/0AkpPlFLnr0VQwZQeMGht0,0AkpPlFLnr0VQwZQeMGht0,Modjo,artist,spotify:artist:0AkpPlFLnr0VQwZQeMGht0,https://open.spotify.com/artist/0AkpPlFLnr0VQwZQeMGht0,49X0LAl6faAusYq02PRAY6,Lady - Hear Me Tonight,82.0
,,,https://api.spotify.com/v1/artists/6RGxLsQUoGk5PLyMVwb3yE,6RGxLsQUoGk5PLyMVwb3yE,Sananda Maitreya,artist,spotify:artist:6RGxLsQUoGk5PLyMVwb3yE,https://open.spotify.com/artist/6RGxLsQUoGk5PLyMVwb3yE,3lIpkjFnRxJ6Uvm8DgtgfV,Sign Your Name,63.0
,,,https://api.spotify.com/v1/artists/4gzpq5DPGxSnKTe4SA8HAU,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,artist,spotify:artist:4gzpq5DPGxSnKTe4SA8HAU,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,1SLxVWqXo9zNrrDKRa3m1G,Viva La Vida,70.0
,,,https://api.spotify.com/v1/artists/7wJ9NwdRWtN92NunmXuwBk,7wJ9NwdRWtN92NunmXuwBk,Orchestral Manoeuvres In The Dark,artist,spotify:artist:7wJ9NwdRWtN92NunmXuwBk,https://open.spotify.com/artist/7wJ9NwdRWtN92NunmXuwBk,05oFyvdztPdpwSwpoclD4c,"If You Leave - From ""Pretty In Pink""",60.0
,,,https://api.spotify.com/v1/artists/7GXXMm3DB1VswVcuGyInUd,7GXXMm3DB1VswVcuGyInUd,Vanilla Ice,artist,spotify:artist:7GXXMm3DB1VswVcuGyInUd,https://open.spotify.com/artist/7GXXMm3DB1VswVcuGyInUd,3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,74.0
